State,Anxiety,SanctionedSuicide,SuicideWatch,addiction,depression,mentalhealth,total_combined,total_unique,total_average,total_combined_no_suicide,total_unique_no_suicide,total_average_no_suicide,total_combined_suicide,total_unique_suicide,total_average_suicide
Nevada,0.0145004555117,0.00508654722138,0.0121469784391,0.00212572122684,0.0223200728819,0.00645308229578,825,13172,0.0626328575766778,598,13172,0.04539933191618585,227,13172,0.017233525660491952
Illinois,0.0129279833091,0.00268246339555,0.00603554263999,0.000856898029135,0.0165046011699,0.00443351588987,1166,26841,0.04344100443351589,932,26841,0.03472299839797325,234,26841,0.00871800603554264
Pennsylvania,0.0118734027914,0.00306664045606,0.0068802830745,0.00125810890505,0.0180066837036,0.00542559465304,1183,25435,0.046510713583644586,930,25435,0.03656379005307647,253,25435,0.009946923530568115
Kentucky,0.0140203607787,0.0049115913556,0.00767994284694,0.00321485979639,0.0176817288802,0.00616181460975,601,11198,0.053670298267547774,460,11198,0.04107876406501161,141,11198,0.012591534202536166
New Hampshire,0.0127234171463,0.00514995455922,0.00817933959406,0.00242350802787,0.0196910027264,0.00817933959406,186,3301,0.05634656164798546,142,3301,0.04301726749469858,44,3301,0.013329294153286883
New York,0.0131310183834,0.00350160490225,0.00784618876244,0.00126446843692,0.0213986966248,0.0050902960153,1611,30843,0.052232273125182374,1261,30843,0.040884479460493464,350,30843,0.011347793664688908
New Jersey,0.0149053310058,0.00362562105546,0.00785551228683,0.00187995165839,0.0192695044985,0.00684839532698,810,14894,0.05438431583187861,639,14894,0.04290318248959313,171,14894,0.011481133342285484
Arkansas,0.0151315789474,0.00372807017544,0.00789473684211,0.00219298245614,0.0166666666667,0.00526315789474,232,4560,0.05087719298245614,179,4560,0.03925438596491228,53,4560,0.01162280701754386
Iowa,0.0140105078809,0.00428098851917,0.00603230200428,0.00233508464682,0.0204319906597,0.00681066355322,277,5139,0.053901537264059156,224,5139,0.043588246740611014,53,5139,0.010313290523448142
Delaware,0.0125284738041,0.00493545937737,0.00721336370539,0.00189825360668,0.0174639331815,0.00683371298405,134,2634,0.05087319665907365,102,2634,0.0387243735763098,32,2634,0.012148823082763858
South Carolina,0.0157480314961,0.0044994375703,0.00618672665917,0.00224971878515,0.0187476565429,0.00674915635546,289,5334,0.05418072740907386,232,5334,0.04349456317960255,57,5334,0.010686164229471317
North Carolina,0.0125083388926,0.00311318656882,0.00639315098955,0.00150100066711,0.0161774516344,0.00489215032244,802,17988,0.044585279074938845,631,17988,0.0350789415165666,171,17988,0.009506337558372248
Kansas,0.0168606031821,0.00569935882213,0.00759914509618,0.00237473284256,0.0175730230349,0.00973640465448,252,4211,0.05984326763239135,196,4211,0.046544763714082164,56,4211,0.01329850391830919
West Virginia,0.015216068168,0.00730371272063,0.00973828362751,0.00365185636032,0.0249543517955,0.00791235544735,113,1643,0.06877662811929397,85,1643,0.051734631771150334,28,1643,0.01704199634814364
Florida,0.0162015627492,0.00405039068729,0.00781374581406,0.00184978472333,0.0215595598788,0.00596396109074,1801,31355,0.05743900494339021,1429,31355,0.04557486844203476,372,31355,0.011864136501355446
Maine,0.0134390834986,0.00506719541749,0.00947345230227,0.00198281559815,0.0154218990967,0.00594844679445,233,4539,0.05133289270764486,167,4539,0.03679224498788279,66,4539,0.014540647719762063
Oregon,0.0125207506823,0.00292619791227,0.00787822514842,0.000900368588391,0.0178666891759,0.00500830027292,1674,35541,0.04710053178019752,1290,35541,0.036296108719507045,384,35541,0.01080442306069047
Colorado,0.0121818401839,0.00346900084708,0.0075833972006,0.00129079101287,0.0191601790973,0.00532451292808,1215,24791,0.04900972126981566,941,24791,0.03795732322213707,274,24791,0.011052398047678593
Texas,0.0116077865898,0.00268565248738,0.00787671232877,0.00106344628695,0.0184571016583,0.00389329488104,2529,55480,0.045583994232155735,1943,55480,0.03502162941600577,586,55480,0.010562364816149965
Georgia,0.0116651181996,0.00309693403531,0.00753587281924,0.00116995285778,0.0156223116892,0.00385396235505,1248,29061,0.04294415195623,939,29061,0.03231134510168267,309,29061,0.010632806854547332
Minnesota,0.0140652557319,0.00440917107584,0.0076278659612,0.000970017636684,0.0184744268078,0.00502645502646,1147,22680,0.050573192239858906,874,22680,0.03853615520282187,273,22680,0.012037037037037037
South Dakota,0.0124223602484,0.00745341614907,0.00496894409938,0.00124223602484,0.0260869565217,0.00993788819876,50,805,0.062111801242236024,40,805,0.049689440993788817,10,805,0.012422360248447204
Washington,0.0137946296843,0.0036884036589,0.00756122750074,0.00121717320744,0.0202124520508,0.00590144585423,1420,27112,0.0523753319563293,1115,27112,0.04112570079669519,305,27112,0.011249631159634111
Michigan,0.0146432215087,0.00330072615976,0.00870191442117,0.0013202904639,0.0193842645382,0.00612134669627,891,16663,0.053471763788033366,691,16663,0.041469123207105565,200,16663,0.012002640580927804
Connecticut,0.0139358679475,0.00460018941956,0.0087944797727,0.00189419564335,0.0184007576783,0.00527668786362,391,7391,0.052902178324989856,292,7391,0.039507509132729,99,7391,0.013394669192260858
Wyoming,0.0132450331126,0.0085146641438,0.00662251655629,0.00378429517502,0.0189214758751,0.00946073793756,64,1057,0.06054872280037843,48,1057,0.04541154210028382,16,1057,0.015137180700094607
Virginia,0.015652173913,0.00541062801932,0.00695652173913,0.00289855072464,0.0208695652174,0.00908212560386,315,5175,0.06086956521739131,251,5175,0.0485024154589372,64,5175,0.012367149758454106
Arizona,0.0129812245808,0.00362137166416,0.0071870299181,0.00172711571675,0.0216725165747,0.00696417627723,972,17949,0.05415343473173993,778,17949,0.04334503314947908,194,17949,0.01080840158226085
Louisiana,0.0153713132866,0.00576424248247,0.00797386876741,0.00172927274474,0.0206552022288,0.00595638389855,598,10409,0.05745028340858872,455,10409,0.04371217215870881,143,10409,0.013738111249879911
Alabama,0.0152030048292,0.00545519585047,0.0103738150599,0.00313003040601,0.0235199427652,0.00795922017528,734,11182,0.06564120908603112,557,11182,0.04981219817563942,177,11182,0.0158290109103917
Nebraska,0.010660046729,0.00335864485981,0.00657126168224,0.00116822429907,0.0146028037383,0.00598714953271,290,6848,0.0423481308411215,222,6848,0.03241822429906542,68,6848,0.009929906542056074
Rhode Island,0.018258798624,0.00555702566817,0.00661550674782,0.00317544323895,0.0179941783541,0.00846784863721,227,3779,0.060068801270177295,181,3779,0.04789626885419423,46,3779,0.012172532415983064
Massachusetts,0.013403579453,0.00251801348106,0.00755404044317,0.00116216006818,0.0173161850159,0.00511350429999,1215,25814,0.04706748276129232,955,25814,0.03699542883706516,260,25814,0.010072053924227163
Ohio,0.0147356658985,0.00415531810881,0.00750750750751,0.00132690830365,0.0189259026468,0.00432991130666,1460,28638,0.05098121377191145,1126,28638,0.03931838815559746,334,28638,0.011662825616313988
New Mexico,0.0156475190447,0.00741198270537,0.0094708667902,0.00247066090179,0.0236771669755,0.0105003088326,336,4857,0.06917850525015441,254,4857,0.05229565575458102,82,4857,0.0168828494955734
Utah,0.0129583413323,0.00441543482434,0.0080629679401,0.00201574198503,0.0208293338453,0.00604722595508,566,10418,0.054329045882127086,436,10418,0.041850643117680934,130,10418,0.01247840276444615
Wisconsin,0.0109137598973,0.00299593408945,0.00527855053855,0.00142663528069,0.0135530351666,0.00499322348242,549,14019,0.03916113845495399,433,14019,0.03088665382694914,116,14019,0.00827448462800485
Vermont,0.0118428653957,0.00577700751011,0.00895436164067,0.00317735413056,0.0222414789139,0.00779896013865,207,3462,0.05979202772963605,156,3462,0.045060658578856154,51,3462,0.014731369150779897
Idaho,0.0167253521127,0.00352112676056,0.00645539906103,0.00234741784038,0.0173122065728,0.00410798122066,172,3408,0.05046948356807512,138,3408,0.040492957746478875,34,3408,0.009976525821596244
Missouri,0.0120381698067,0.00411059456814,0.00641057010032,0.00166381208711,0.0187912894544,0.00611695620259,1004,20435,0.04913139221923171,789,20435,0.03861022755077074,215,20435,0.010521164668460974
Maryland,0.0131766680655,0.00352496852707,0.00738564834243,0.0021821233739,0.0153587914394,0.00453210239194,550,11915,0.04616030214015946,420,11915,0.03524968527066723,130,11915,0.010910616869492237
Mississippi,0.0184774575018,0.00813008130081,0.00886917960089,0.00517368810052,0.0221729490022,0.010347376201,99,1353,0.07317073170731707,76,1353,0.05617147080561715,23,1353,0.016999260901699925
California,0.0127416923379,0.00296257455594,0.00781280723602,0.00115356885364,0.0196237792489,0.00495510257587,3757,76285,0.04924952480828472,2935,76285,0.03847414301632038,822,76285,0.010775381791964344
North Dakota,0.0145681581686,0.00624349635796,0.0104058272633,0.00208116545265,0.0156087408949,0.00728407908429,54,961,0.05619146722164412,38,961,0.03954214360041623,16,961,0.01664932362122789
Tennessee,0.0144452537024,0.0047341587764,0.00886137411993,0.00230638504491,0.0166302500607,0.00704054382132,445,8238,0.05401796552561301,333,8238,0.04042243262927895,112,8238,0.013595532896334061
Oklahoma,0.0122884553196,0.00420394524092,0.00743774927239,0.00237145628975,0.0183248895117,0.00700657540153,479,9277,0.05163307103589523,371,9277,0.03999137652258273,108,9277,0.011641694513312493
Indiana,0.0154446854664,0.00451193058568,0.00659436008677,0.00225596529284,0.0172668112798,0.00546637744035,594,11525,0.05154013015184382,466,11525,0.04043383947939262,128,11525,0.011106290672451193
Montana,0.0119983450559,0.00372362432768,0.00661977658254,0.00289615225486,0.0153082333471,0.00744724865536,116,2417,0.04799338022341746,91,2417,0.03764997931319818,25,2417,0.01034340091021928
